,MeanOperations,
Array Size, ONE, TWO
3460,23929362,11961222
3470,24067922,12030492
3480,24206882,12099962
3490,24346242,12169632
3500,24486002,12239502
3510,24626162,12309572
3520,24766722,12379842
3530,24907682,12450312
3540,25049042,12520982
3550,25190802,12591852
3560,25332962,12662922
3570,25475522,12734192
3580,25618482,12805662
3590,25761842,12877332
3600,25905602,12949202
3610,26049762,13021272
3620,26194322,13093542
3630,26339282,13166012
3640,26484642,13238682
3650,26630402,13311552
3660,26776562,13384622
3670,26923122,13457892
3680,27070082,13531362
3690,27217442,13605032
3700,27365202,13678902
3710,27513362,13752972
3720,27661922,13827242
3730,27810882,13901712
3740,27960242,13976382
3750,28110002,14051252
3760,28260162,14126322
3770,28410722,14201592
3780,28561682,14277062
3790,28713042,14352732
3800,28864802,14428602
3810,29016962,14504672
3820,29169522,14580942
3830,29322482,14657412
3840,29475842,14734082
3850,29629602,14810952
3860,29783762,14888022
3870,29938322,14965292
3880,30093282,15042762
3890,30248642,15120432
3900,30404402,15198302
3910,30560562,15276372
3920,30717122,15354642
3930,30874082,15433112
3940,31031442,15511782
3950,31189202,15590652
3960,31347362,15669722
3970,31505922,15748992
3980,31664882,15828462
3990,31824242,15908132
4000,31984002,15988002
4010,32144162,16068072
4020,32304722,16148342
4030,32465682,16228812
4040,32627042,16309482
4050,32788802,16390352
4060,32950962,16471422
4070,33113522,16552692
4080,33276482,16634162
4090,33439842,16715832
4100,33603602,16797702
4110,33767762,16879772
4120,33932322,16962042
4130,34097282,17044512
4140,34262642,17127182
4150,34428402,17210052
4160,34594562,17293122
4170,34761122,17376392
4180,34928082,17459862
4190,35095442,17543532
4200,35263202,17627402
4210,35431362,17711472
4220,35599922,17795742
4230,35768882,17880212
4240,35938242,17964882
4250,36108002,18049752
4260,36278162,18134822
4270,36448722,18220092
4280,36619682,18305562
4290,36791042,18391232
4300,36962802,18477102
4310,37134962,18563172
4320,37307522,18649442
4330,37480482,18735912
4340,37653842,18822582
4350,37827602,18909452
4360,38001762,18996522
4370,38176322,19083792
4380,38351282,19171262
4390,38526642,19258932
4400,38702402,19346802
4410,38878562,19434872
4420,39055122,19523142
4430,39232082,19611612
4440,39409442,19700282
4450,39587202,19789152
4460,39765362,19878222
4470,39943922,19967492
4480,40122882,20056962
4490,40302242,20146632
4500,40482002,20236502
4510,40662162,20326572
4520,40842722,20416842
4530,41023682,20507312
4540,41205042,20597982
4550,41386802,20688852
4560,41568962,20779922
4570,41751522,20871192
4580,41934482,20962662
4590,42117842,21054332
4600,42301602,21146202
4610,42485762,21238272
4620,42670322,21330542
4630,42855282,21423012
4640,43040642,21515682
4650,43226402,21608552
4660,43412562,21701622
4670,43599122,21794892
4680,43786082,21888362
4690,43973442,21982032
4700,44161202,22075902
4710,44349362,22169972
4720,44537922,22264242
4730,44726882,22358712
4740,44916242,22453382
4750,45106002,22548252
4760,45296162,22643322
4770,45486722,22738592
4780,45677682,22834062
4790,45869042,22929732
4800,46060802,23025602
4810,46252962,23121672
4820,46445522,23217942
4830,46638482,23314412
4840,46831842,23411082
4850,47025602,23507952
4860,47219762,23605022
4870,47414322,23702292
4880,47609282,23799762
4890,47804642,23897432
4900,48000402,23995302
4910,48196562,24093372
4920,48393122,24191642
4930,48590082,24290112
4940,48787442,24388782
4950,48985202,24487652
4960,49183362,24586722
4970,49381922,24685992
4980,49580882,24785462
4990,49780242,24885132
5000,49980002,24985002
5010,50180162,25085072
5020,50380722,25185342
5030,50581682,25285812
5040,50783042,25386482
5050,50984802,25487352
5060,51186962,25588422
5070,51389522,25689692
5080,51592482,25791162
5090,51795842,25892832
5100,51999602,25994702
5110,52203762,26096772
5120,52408322,26199042
5130,52613282,26301512
5140,52818642,26404182
5150,53024402,26507052
5160,53230562,26610122
5170,53437122,26713392
5180,53644082,26816862
5190,53851442,26920532
5200,54059202,27024402
5210,54267362,27128472
5220,54475922,27232742
5230,54684882,27337212
5240,54894242,27441882
5250,55104002,27546752
5260,55314162,27651822
5270,55524722,27757092
5280,55735682,27862562
5290,55947042,27968232
5300,56158802,28074102
5310,56370962,28180172
5320,56583522,28286442
5330,56796482,28392912
5340,57009842,28499582
5350,57223602,28606452
5360,57437762,28713522
5370,57652322,28820792
5380,57867282,28928262
5390,58082642,29035932
5400,58298402,29143802
5410,58514562,29251872
5420,58731122,29360142
5430,58948082,29468612
5440,59165442,29577282
5450,59383202,29686152
5460,59601362,29795222
5470,59819922,29904492
5480,60038882,30013962
5490,60258242,30123632
5500,60478002,30233502
5510,60698162,30343572
5520,60918722,30453842
5530,61139682,30564312
5540,61361042,30674982
5550,61582802,30785852
5560,61804962,30896922
5570,62027522,31008192
5580,62250482,31119662
5590,62473842,31231332
5600,62697602,31343202
5610,62921762,31455272
5620,63146322,31567542
5630,63371282,31680012
5640,63596642,31792682
5650,63822402,31905552
5660,64048562,32018622
5670,64275122,32131892
5680,64502082,32245362
5690,64729442,32359032
5700,64957202,32472902
5710,65185362,32586972
5720,65413922,32701242
5730,65642882,32815712
5740,65872242,32930382
5750,66102002,33045252
5760,66332162,33160322
5770,66562722,33275592
5780,66793682,33391062
5790,67025042,33506732
5800,67256802,33622602
5810,67488962,33738672
5820,67721522,33854942
5830,67954482,33971412
5840,68187842,34088082
5850,68421602,34204952
5860,68655762,34322022
5870,68890322,34439292
5880,69125282,34556762
5890,69360642,34674432
5900,69596402,34792302
5910,69832562,34910372
5920,70069122,35028642
5930,70306082,35147112
5940,70543442,35265782
5950,70781202,35384652
5960,71019362,35503722
5970,71257922,35622992
5980,71496882,35742462
5990,71736242,35862132
6000,71976002,35982002
6010,72216162,36102072
6020,72456722,36222342
6030,72697682,36342812
6040,72939042,36463482
6050,73180802,36584352
6060,73422962,36705422
6070,73665522,36826692
6080,73908482,36948162
6090,74151842,37069832
6100,74395602,37191702
6110,74639762,37313772
6120,74884322,37436042
6130,75129282,37558512
6140,75374642,37681182
6150,75620402,37804052
6160,75866562,37927122
6170,76113122,38050392
6180,76360082,38173862
6190,76607442,38297532
6200,76855202,38421402
6210,77103362,38545472
6220,77351922,38669742
6230,77600882,38794212
6240,77850242,38918882
6250,78100002,39043752
6260,78350162,39168822
6270,78600722,39294092
6280,78851682,39419562
6290,79103042,39545232
6300,79354802,39671102
6310,79606962,39797172
6320,79859522,39923442
6330,80112482,40049912
6340,80365842,40176582
6350,80619602,40303452
6360,80873762,40430522
6370,81128322,40557792
6380,81383282,40685262
6390,81638642,40812932
6400,81894402,40940802
6410,82150562,41068872
6420,82407122,41197142
6430,82664082,41325612
6440,82921442,41454282
6450,83179202,41583152
6460,83437362,41712222
6470,83695922,41841492
6480,83954882,41970962
6490,84214242,42100632
6500,84474002,42230502
6510,84734162,42360572
6520,84994722,42490842
6530,85255682,42621312
6540,85517042,42751982
6550,85778802,42882852
6560,86040962,43013922
6570,86303522,43145192
6580,86566482,43276662
6590,86829842,43408332
6600,87093602,43540202
6610,87357762,43672272
6620,87622322,43804542
6630,87887282,43937012
6640,88152642,44069682
6650,88418402,44202552
6660,88684562,44335622
6670,88951122,44468892
6680,89218082,44602362
6690,89485442,44736032
6700,89753202,44869902
6710,90021362,45003972
6720,90289922,45138242
6730,90558882,45272712
6740,90828242,45407382
6750,91098002,45542252
6760,91368162,45677322
6770,91638722,45812592
6780,91909682,45948062
6790,92181042,46083732
6800,92452802,46219602
6810,92724962,46355672
6820,92997522,46491942
6830,93270482,46628412
6840,93543842,46765082
6850,93817602,46901952
6860,94091762,47039022
6870,94366322,47176292
6880,94641282,47313762
6890,94916642,47451432
6900,95192402,47589302
6910,95468562,47727372
6920,95745122,47865642
6930,96022082,48004112
6940,96299442,48142782
6950,96577202,48281652
6960,96855362,48420722
6970,97133922,48559992
6980,97412882,48699462
6990,97692242,48839132
7000,97972002,48979002,MeanOperations,
Array Size, ONE, TWO
10,200,90
20,800,380
30,1800,870
40,3200,1560
50,5000,2450
60,7200,3540
70,9800,4830
80,12800,6320
90,16200,8010
100,20000,9900
110,24200,11990
120,28800,14280
130,33800,16770
