,Mean Time Elapsed, 
Array Size, ONE, TWO
2860,0.080076,0.044048
2870,0.08108,0.04104
2880,0.081684,0.042048
2890,0.082576,0.042044
2900,0.082077,0.042544
2910,0.08208,0.04104
2920,0.08208,0.041041
2930,0.083085,0.042044
2940,0.084584,0.043045
2950,0.086086,0.042039
2960,0.085088,0.042545
2970,0.085122,0.043547
2980,0.087088,0.044042
2990,0.090091,0.045047
3000,0.089587,0.045043
3010,0.092091,0.046045
3020,0.090087,0.047047
3030,0.092091,0.045545
3040,0.092878,0.046044
3050,0.091013,0.04455
3060,0.091806,0.047045
3070,0.093227,0.047044
3080,0.092593,0.046548
3090,0.092091,0.046041
3100,0.093094,0.046051
3110,0.093091,0.048049
3120,0.097132,0.049552
3130,0.098116,0.049047
3140,0.095226,0.049547
3150,0.098099,0.049045
3160,0.101101,0.061062
3170,0.1011,0.05305
3180,0.1021,0.05055
3190,0.103102,0.052052
3200,0.104603,0.054053
3210,0.104097,0.05206
3220,0.104102,0.050049
3230,0.104828,0.051053
3240,0.102102,0.053051
3250,0.104103,0.052056
3260,0.104102,0.052054
3270,0.104604,0.051551
3280,0.105105,0.053055
3290,0.104104,0.053051
3300,0.106104,0.052055
3310,0.107108,0.053558
3320,0.107603,0.054555
3330,0.107103,0.054056
3340,0.10811,0.055054
3350,0.110109,0.055055
3360,0.111112,0.054059
3370,0.110651,0.055054
3380,0.111111,0.055557
3390,0.113111,0.056062
3400,0.112628,0.059059
3410,0.119654,0.057055
3420,0.116618,0.061067
3430,0.115626,0.057556
3440,0.115111,0.058056
3450,0.119117,0.059058
3460,0.116618,0.059057
3470,0.119116,0.058562
3480,0.118119,0.059062
3490,0.118114,0.06006
3500,0.124625,0.061059
3510,0.122125,0.06106
3520,0.121116,0.061061
3530,0.123122,0.060059
3540,0.123924,0.062063
3550,0.125675,0.063565
3560,0.125122,0.062063
3570,0.123645,0.06106
3580,0.125127,0.064061
3590,0.125626,0.062835
3600,0.126125,0.062566
3610,0.126123,0.063061
3620,0.127127,0.065066
3630,0.131079,0.066041
3640,0.131032,0.066068
3650,0.131135,0.06347
3660,0.131127,0.065067
3670,0.133131,0.067068
3680,0.134131,0.066066
3690,0.135131,0.068632
3700,0.136633,0.069068
3710,0.136134,0.069072
3720,0.135132,0.069071
3730,0.136131,0.068068
3740,0.136131,0.06907
3750,0.138137,0.068069
3760,0.137636,0.068549
3770,0.141144,0.070067
3780,0.140141,0.072071
3790,0.140637,0.07007
3800,0.139133,0.070572
3810,0.139134,0.070068
3820,0.141137,0.072576
3830,0.144141,0.073074
3840,0.144142,0.071071
3850,0.146748,0.074574
3860,0.148145,0.074075
3870,0.147736,0.072574
3880,0.148052,0.073996
3890,0.147157,0.075064
3900,0.150858,0.075575
3910,0.151149,0.074617
3920,0.15215,0.076077
3930,0.149801,0.075075
3940,0.148648,0.074076
3950,0.150146,0.079616
3960,0.157763,0.078575
3970,0.156155,0.076076
3980,0.153145,0.077075
3990,0.15315,0.078079
4000,0.154655,0.079064
4010,0.159156,0.078069
4020,0.157722,0.080077
4030,0.158696,0.080082
4040,0.158157,0.079077
4050,0.160159,0.080079
4060,0.189197,0.085582
4070,0.166165,0.083084
4080,0.176173,0.081082
4090,0.164541,0.082578
4100,0.167167,0.083082
4110,0.169167,0.086086
4120,0.167167,0.085586
4130,0.175171,0.085085
4140,0.175674,0.084083
4150,0.177177,0.086085
4160,0.172171,0.086084
4170,0.178176,0.087087
4180,0.176179,0.08809
4190,0.182179,0.088586
4200,0.178295,0.088082
4210,0.184183,0.088089
4220,0.179374,0.092091
4230,0.182181,0.089088
4240,0.178181,0.11311
4250,0.186195,0.089761
4260,0.183684,0.09009
4270,0.188187,0.09109
4280,0.183179,0.09209
4290,0.18871,0.093385
4300,0.183183,0.094919
4310,0.181179,0.090088
4320,0.182182,0.092091
4330,0.183175,0.090588
4340,0.181186,0.092095
4350,0.183728,0.092594
4360,0.184182,0.092093
4370,0.186181,0.092094
4380,0.18468,0.094095
4390,0.186186,0.092092
4400,0.186195,0.094598
4410,0.18919,0.094092
4420,0.190185,0.095097
4430,0.189688,0.095094
4440,0.190185,0.097099
4450,0.19019,0.097097
4460,0.193193,0.096096
4470,0.199201,0.102602
4480,0.203202,0.104102
4490,0.21321,0.1021
4500,0.202202,0.101103
4510,0.203702,0.103102
4520,0.208643,0.1021
4530,0.206203,0.105103
4540,0.209205,0.104102
4550,0.209203,0.103103
4560,0.209206,0.102602
4570,0.210214,0.107042
4580,0.209502,0.108116
4590,0.217085,0.105729
4600,0.219721,0.108108
4610,0.217649,0.104455
4620,0.214715,0.108108
4630,0.213387,0.106639
4640,0.221782,0.111112
4650,0.214213,0.108791
4660,0.217218,0.108608
4670,0.218215,0.108108
4680,0.219905,0.110203
4690,0.218816,0.110611
4700,0.224225,0.110108
4710,0.222221,0.112109
4720,0.23173,0.112112
4730,0.221222,0.110112
4740,0.219216,0.10911
4750,0.220723,0.109608
4760,0.21872,0.110113
4770,0.221279,0.110112
4780,0.221217,0.112118
4790,0.221217,0.112616
4800,0.224224,0.111113
4810,0.224226,0.112904
4820,0.234233,0.118119
4830,0.233735,0.115617
4840,0.233231,0.115108
4850,0.236165,0.116063
4860,0.231231,0.116117
4870,0.235236,0.119122
4880,0.233232,0.117116
4890,0.242239,0.118736
4900,0.239736,0.120119
4910,0.239669,0.11812
4920,0.235229,0.119182
4930,0.239235,0.121118
4940,0.239236,0.119035
4950,0.243236,0.120118
